td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
"[-1, -3, 9, 2, -2, 3, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3]","[3, 1, 13, 6, 2, 7, 2, 17, 5, 11]","[13, 2, 14, 10, 3, 4, 16, 5, 3, 7]","[-1, -3, 2, -2, 3, -2, 13, 1, 7]","[9, -2, 6, -1, 0, 12, 1, -1, 3]","[-1, -3, 9, 2, -2, 4, 3, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 4, 0, 12, 1, -1, 3]","[-1, -3, 9, 2, -2, 3, -2, 13, 1, 7, -1.0, -0.33333333330000003, 0.1111111111, 0.5, -0.5, 0.33333333330000003, -0.5, 0.0769230769, 1.0, 0.1428571429]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3, 0.1111111111, -0.5, 0.1, 0.1666666667, -1.0, 'ZeroDivisionError', 0.0833333333, 1.0, -1.0, 0.33333333330000003]","[-4, -12, 36, 8, -8, 12, -8, 52, 4, 28]","[36, -8, 40, 24, -4, 0, 48, 4, -4, 12]","[-2, 9, 1, 13, 3, 7, -1, -3, 2, -2]","[6, 0, 3, -1, -1, 10, -2, 1, 9, 12]",6.3431077694,7.6461675579,3.5135521886000003,6.3431077694,error,6.3431077694,6.2904761905,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2]","[-2, 5, 7, -2, -3, 1, 2, 2, 5, 10]","[0, 4, 8, 0, 4, 2, 7, 1, 8, 6]","[-6, 1, 3, -6, -7, -3, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, 3, 4, 2]","[-6, 1, 3, -6, -7, -3, -2, -2, 1, 4, 6]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 4, 2]","[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6, -0.1666666667, 1.0, 0.33333333330000003, -0.1666666667, -0.1428571429, -0.33333333330000003, -0.5, -0.5, 1.0, 0.1666666667]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2, -0.25, 'ZeroDivisionError', 0.25, -0.25, 'ZeroDivisionError', -0.5, 0.33333333330000003, -0.33333333330000003, 0.25, 0.5]","[-24, 4, 12, -24, -28, -12, -8, -8, 4, 24]","[-16, 0, 16, -16, 0, -8, 12, -12, 16, 8]","[-3, -2, -6, 1, 6, -2, 3, -7, 1, -6]","[2, -2, 0, 4, 3, -4, 4, -3, 0, -4]",5.0428571429,5.0095238095,4.8807692308,5.0428571429,error,5.0428571429,4.8428571429,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-4, -3, -2, -4, 2, 0, -5, 4]","[0, 2, 4, -6, 0, -2, 4, -6]","[0, 1, 2, 0, 6, 4, -1, 8]","[4, 6, 8, -2, 4, 2, 8, -2]","[-4, -3, -2, -4, 2, -5, 4]","[0, 2, 4, -6, 0, 4, -6]","[-4, -3, -2, -4, 2, 0, -5, 4, 4]","[0, 2, 4, -6, 0, -2, 4, -6, 4]","[-4, -3, -2, -4, 2, 0, -5, 4, -0.25, -0.33333333330000003, -0.5, -0.25, 0.5, 'ZeroDivisionError', -0.2, 0.25]","[0, 2, 4, -6, 0, -2, 4, -6, 'ZeroDivisionError', 0.5, 0.25, -0.1666666667, 'ZeroDivisionError', -0.5, 0.25, -0.1666666667]","[-16, -12, -8, -16, 8, 0, -20, 16]","[0, 8, 16, -24, 0, -8, 16, -24]","[-5, -4, -3, -2, -4, 2, 0, 4]","[0, 2, 4, 4, 0, -6, -6, -2]",7.2,8.0,5.8476190476,7.2,error,7.2,6.2,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[12, -2, 0, 4, 1, 11, -2]","[3, 4, 10, 11, -2, 1, 3]","[16, 2, 4, 8, 5, 15, 2]","[7, 8, 14, 15, 2, 5, 7]","[12, 0, 4, 1, 11, -2]","[3, 10, 11, -2, 1, 3]","[12, -2, 0, 4, 1, 11, 4, -2]","[3, 4, 10, 11, -2, 1, 4, 3]","[12, -2, 0, 4, 1, 11, -2, 0.0833333333, -0.5, 'ZeroDivisionError', 0.25, 1.0, 0.0909090909, -0.5]","[3, 4, 10, 11, -2, 1, 3, 0.33333333330000003, 0.25, 0.1, 0.0909090909, -0.5, 1.0, 0.33333333330000003]","[48, -8, 0, 16, 4, 44, -8]","[12, 16, 40, 44, -8, 4, 12]","[-2, 0, 11, 1, 4, 12, -2]","[11, 3, 3, 10, 4, 1, -2]",5.9,4.2357642358,3.3353347136,5.9,error,5.9,4.9,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-14, -5, 5, -1, 1]","[3, 5, 2, -14, 7]","[-10, -1, 9, 3, 5]","[7, 9, 6, -10, 11]","[-5, 5, -1, 1]","[5, 2, -14, 7]","[-14, -5, 5, -1, 4, 1]","[3, 5, 2, -14, 4, 7]","[-14, -5, 5, -1, 1, -0.0714285714, -0.2, 0.2, -1.0, 1.0]","[3, 5, 2, -14, 7, 0.33333333330000003, 0.2, 0.5, -0.0714285714, 0.1428571429]","[-56, -20, 20, -4, 4]","[12, 20, 8, -56, 28]","[1, -1, -5, -14, 5]","[2, -14, 5, 3, 7]",4.0452380952,3.3666666667,3.575,4.0452380952,8.0904761905,4.0452380952,3.0452380952,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-1, 4, 4, 5]","[1, -2, -3, -3]","[3, 8, 8, 9]","[5, 2, 1, 1]","[-1, 4, 4]","[1, -2, -3]","[-1, 4, 4, 4, 5]","[1, -2, -3, 4, -3]","[-1, 4, 4, 5, -1.0, 0.25, 0.25, 0.2]","[1, -2, -3, -3, 1.0, -0.5, -0.33333333330000003, -0.33333333330000003]","[-4, 16, 16, 20]","[4, -8, -12, -12]","[5, 4, -1, 4]","[-3, -3, -2, 1]",4.0,2.9333333333000002,2.4277777778000003,4.0,8.0,4.0,3.0,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[2, 5, -3, 11, 10, 0, -8, -5, 11]","[-5, 6, 3, 2, 0, -7, -5, 3, -8]","[6, 9, 1, 15, 14, 4, -4, -1, 15]","[-1, 10, 7, 6, 4, -3, -1, 7, -4]","[2, 5, -3, 11, 10, 0, -8, -5]","[-5, 6, 3, 2, 0, -7, -5, 3]","[2, 5, -3, 11, 10, 0, -8, -5, 11, 4]","[-5, 6, 3, 2, 0, -7, -5, 3, -8, 4]","[2, 5, -3, 11, 10, 0, -8, -5, 11, 0.5, 0.2, -0.33333333330000003, 0.0909090909, 0.1, 'ZeroDivisionError', -0.125, -0.2, 0.0909090909]","[-5, 6, 3, 2, 0, -7, -5, 3, -8, -0.2, 0.1666666667, 0.33333333330000003, 0.5, 'ZeroDivisionError', -0.1428571429, -0.2, 0.33333333330000003, -0.125]","[8, 20, -12, 44, 40, 0, -32, -20, 44]","[-20, 24, 12, 8, 0, -28, -20, 12, -32]","[10, -5, 2, 0, -8, -3, 5, 11, 11]","[3, -8, 0, 2, -7, -5, -5, 6, 3]",7.013986014,4.9514436544,6.3867585631,7.013986014,error,7.013986014,6.013986014,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-8, 7, -2, 4, -10]","[5, -10, -2, 11, -4]","[-4, 11, 2, 8, -6]","[9, -6, 2, 15, 0]","[-8, 7, 4, -10]","[5, -10, 11, -4]","[-8, 4, 7, -2, 4, -10]","[5, 4, -10, -2, 11, -4]","[-8, 7, -2, 4, -10, -0.125, 0.1428571429, -0.5, 0.25, -0.1]","[5, -10, -2, 11, -4, 0.2, -0.1, -0.5, 0.0909090909, -0.25]","[-32, 28, -8, 16, -40]","[20, -40, -8, 44, -16]","[-2, 7, -8, 4, -10]","[-4, 5, -10, -2, 11]",2.8952380952,2.6111111111,3.3043478261,2.8952380952,5.7904761905,2.8952380952,2.8952380952,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
"[5, 13, -2, 4, -4]","[-1, 6, -5, -1, 16]","[9, 17, 2, 8, 0]","[3, 10, -1, 3, 20]","[5, 13, 4, -4]","[-1, 6, -1, 16]","[5, 4, 13, -2, 4, -4]","[-1, 4, 6, -5, -1, 16]","[5, 13, -2, 4, -4, 0.2, 0.0769230769, -0.5, 0.25, -0.25]","[-1, 6, -5, -1, 16, -1.0, 0.1666666667, -0.2, -1.0, 0.0625]","[20, 52, -8, 16, -16]","[-4, 24, -20, -4, 64]","[5, -4, 4, -2, 13]","[-1, 6, -5, 16, -1]",3.7969924812,5.0,3.2138047138,3.7969924812,7.5939849624,3.7969924812,3.3684210526,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
